Model,Freq_MHz,TxPower_dBm,N_Samples,Mean_Pr_dBm,Mean_PL_dB,Mean_ExcessPL_dB,RMSE_vs_FreeSpace_dB,Bias_vs_FreeSpace_dB,Coverage ≥ -90 dBm [%],Coverage ≥ -100 dBm [%],Coverage ≥ -110 dBm [%]
COST231,3500.0,43.0,60,-82.75,125.75000000000001,38.277794720613606,38.62789905875059,-38.277794720613606,56.666666666666664,86.66666666666667,86.66666666666667
FreeSpace,3500.0,43.0,60,-35.28181818181818,78.2818181818182,1.139153726065721,2.087621002309659,-1.139153726065721,18.333333333333332,18.333333333333332,18.333333333333332
Hata,3500.0,43.0,60,-77.80999999999999,120.80999999999999,32.13331573147283,32.60310725084475,-32.13331573147283,83.33333333333334,100.0,100.0
RayTracing,3500.0,43.0,60,-66.09142857142857,109.09142857142855,22.16051750877037,26.528666148007837,-22.16051750877037,56.666666666666664,58.333333333333336,58.333333333333336
