ScenarioName,PropagationModel,Technology,RxId,RxPosX,RxPosY,RxPosZ,RxHeight,RxSensitivity,RxSignalStrength,RxConnectMargin,TxId,TxPosX,TxPosY,TxPosZ,TxHeight,TxPower,TxFrequency,TxMaxReflections,TxMaxDiffractions,TxMaxScattering,Distance,BuildingsOn
S2_5GSub6_corner,RayTracing,FiveGSub6,RX-716084,-61.000,25.990,-332.570,1.50,-98.0,,6,TX-715940,38.999,23.294,-375.069,10.00,43.0,3500,2,2,2,108.689,True
S2_5GSub6_corner,RayTracing,FiveGSub6,RX-716064,-63.500,26.060,-352.570,1.50,-98.0,,6,TX-715940,38.999,23.294,-375.069,10.00,43.0,3500,2,2,2,104.976,True
S2_5GSub6_corner,RayTracing,FiveGSub6,RX-716494,-383.500,24.190,-242.570,1.50,-98.0,,6,TX-715940,38.999,23.294,-375.069,10.00,43.0,3500,2,2,2,442.789,True
S2_5GSub6_corner,RayTracing,FiveGSub6,RX-716174,-61.000,23.830,-242.570,1.50,-98.0,-73.5,6,TX-715940,38.999,23.294,-375.069,10.00,43.0,3500,2,2,2,166.000,True
S2_5GSub6_corner,RayTracing,FiveGSub6,RX-716304,-193.500,25.070,-242.570,1.50,-98.0,-76.6,6,TX-715940,38.999,23.294,-375.069,10.00,43.0,3500,2,2,2,267.610,True
S2_5GSub6_corner,RayTracing,FiveGSub6,RX-716154,-61.000,25.210,-262.570,1.50,-98.0,-75.0,6,TX-715940,38.999,23.294,-375.069,10.00,43.0,3500,2,2,2,150.531,True
S2_5GSub6_corner,RayTracing,FiveGSub6,RX-716244,-131.000,26.860,-242.570,1.50,-98.0,-77.8,6,TX-715940,38.999,23.294,-375.069,10.00,43.0,3500,2,2,2,215.565,True
S2_5GSub6_corner,RayTracing,FiveGSub6,RX-716274,-163.500,25.870,-242.570,1.50,-98.0,,6,TX-715940,38.999,23.294,-375.069,10.00,43.0,3500,2,2,2,242.009,True
S2_5GSub6_corner,RayTracing,FiveGSub6,RX-716344,-233.500,25.710,-242.570,1.50,-98.0,-80.9,6,TX-715940,38.999,23.294,-375.069,10.00,43.0,3500,2,2,2,303.014,True
S2_5GSub6_corner,RayTracing,FiveGSub6,RX-716314,-203.500,24.940,-242.570,1.50,-98.0,-79.7,6,TX-715940,38.999,23.294,-375.069,10.00,43.0,3500,2,2,2,276.341,True
S2_5GSub6_corner,RayTracing,FiveGSub6,RX-716414,-303.500,25.650,-242.570,1.50,-98.0,-79.4,6,TX-715940,38.999,23.294,-375.069,10.00,43.0,3500,2,2,2,367.243,True
S2_5GSub6_corner,RayTracing,FiveGSub6,RX-716294,-183.500,25.240,-242.570,1.50,-98.0,,6,TX-715940,38.999,23.294,-375.069,10.00,43.0,3500,2,2,2,258.970,True
S2_5GSub6_corner,RayTracing,FiveGSub6,RX-716234,-121.000,26.710,-242.570,1.50,-98.0,,6,TX-715940,38.999,23.294,-375.069,10.00,43.0,3500,2,2,2,207.768,True
S2_5GSub6_corner,RayTracing,FiveGSub6,RX-715994,-11.000,25.780,-372.570,1.50,-98.0,-34.8,6,TX-715940,38.999,23.294,-375.069,10.00,43.0,3500,2,2,2,50.123,True
S2_5GSub6_corner,RayTracing,FiveGSub6,RX-716024,-41.000,25.960,-372.570,1.50,-98.0,-38.9,6,TX-715940,38.999,23.294,-375.069,10.00,43.0,3500,2,2,2,80.083,True
S2_5GSub6_corner,RayTracing,FiveGSub6,RX-716444,-333.500,25.240,-242.570,1.50,-98.0,-83.5,6,TX-715940,38.999,23.294,-375.069,10.00,43.0,3500,2,2,2,395.368,True
S2_5GSub6_corner,RayTracing,FiveGSub6,RX-716434,-323.500,25.330,-242.570,1.50,-98.0,-84.0,6,TX-715940,38.999,23.294,-375.069,10.00,43.0,3500,2,2,2,385.961,True
S2_5GSub6_corner,RayTracing,FiveGSub6,RX-716054,-63.500,26.120,-362.570,1.50,-98.0,-40.7,6,TX-715940,38.999,23.294,-375.069,10.00,43.0,3500,2,2,2,103.297,True
S2_5GSub6_corner,RayTracing,FiveGSub6,RX-716114,-61.000,25.880,-302.570,1.50,-98.0,-78.9,6,TX-715940,38.999,23.294,-375.069,10.00,43.0,3500,2,2,2,123.542,True
S2_5GSub6_corner,RayTracing,FiveGSub6,RX-716454,-343.500,25.200,-242.570,1.50,-98.0,,6,TX-715940,38.999,23.294,-375.069,10.00,43.0,3500,2,2,2,404.803,True
S2_5GSub6_corner,RayTracing,FiveGSub6,RX-716334,-223.500,25.460,-242.570,1.50,-98.0,-77.6,6,TX-715940,38.999,23.294,-375.069,10.00,43.0,3500,2,2,2,294.052,True
S2_5GSub6_corner,RayTracing,FiveGSub6,RX-716204,-91.000,25.810,-242.570,1.50,-98.0,,6,TX-715940,38.999,23.294,-375.069,10.00,43.0,3500,2,2,2,185.640,True
S2_5GSub6_corner,RayTracing,FiveGSub6,RX-716404,-293.500,25.910,-242.570,1.50,-98.0,-80.2,6,TX-715940,38.999,23.294,-375.069,10.00,43.0,3500,2,2,2,357.937,True
S2_5GSub6_corner,RayTracing,FiveGSub6,RX-716264,-153.500,26.240,-242.570,1.50,-98.0,-82.6,6,TX-715940,38.999,23.294,-375.069,10.00,43.0,3500,2,2,2,233.710,True
S2_5GSub6_corner,RayTracing,FiveGSub6,RX-716484,-373.500,24.460,-242.570,1.50,-98.0,,6,TX-715940,38.999,23.294,-375.069,10.00,43.0,3500,2,2,2,433.259,True
S2_5GSub6_corner,RayTracing,FiveGSub6,RX-716544,-433.500,22.680,-242.570,1.50,-98.0,,6,TX-715940,38.999,23.294,-375.069,10.00,43.0,3500,2,2,2,490.726,True
S2_5GSub6_corner,RayTracing,FiveGSub6,RX-715954,29.000,25.160,-375.070,1.50,-98.0,-26.7,6,TX-715940,38.999,23.294,-375.069,10.00,43.0,3500,2,2,2,10.172,True
S2_5GSub6_corner,RayTracing,FiveGSub6,RX-716194,-81.000,25.190,-242.570,1.50,-98.0,,6,TX-715940,38.999,23.294,-375.069,10.00,43.0,3500,2,2,2,178.772,True
S2_5GSub6_corner,RayTracing,FiveGSub6,RX-716424,-313.500,25.420,-242.570,1.50,-98.0,-84.7,6,TX-715940,38.999,23.294,-375.069,10.00,43.0,3500,2,2,2,376.585,True
S2_5GSub6_corner,RayTracing,FiveGSub6,RX-716384,-273.500,25.790,-242.570,1.50,-98.0,-81.6,6,TX-715940,38.999,23.294,-375.069,10.00,43.0,3500,2,2,2,339.438,True
S2_5GSub6_corner,RayTracing,FiveGSub6,RX-716164,-61.000,24.510,-252.570,1.50,-98.0,-74.1,6,TX-715940,38.999,23.294,-375.069,10.00,43.0,3500,2,2,2,158.137,True
