Model,Freq_MHz,TxPower_dBm,N_Samples,Mean_Pr_dBm,Mean_PL_dB,Mean_ExcessPL_dB,RMSE_vs_FreeSpace_dB,Bias_vs_FreeSpace_dB,Coverage ≥ -90 dBm [%],Coverage ≥ -100 dBm [%],Coverage ≥ -110 dBm [%]
FreeSpace,700.0,43.0,60,-21.290909090909093,64.29090909090908,1.1276447218770038,0.0,0.0,18.333333333333332,18.333333333333332,18.333333333333332
Hata,700.0,43.0,60,-59.529999999999994,102.53000000000002,27.832715818193204,18.344877907866966,-17.854545454545455,100.0,100.0,100.0
RayTracing,700.0,43.0,60,-46.822857142857146,89.82285714285715,16.871346166919313,0.8544003745317524,0.11818181818181825,58.333333333333336,58.333333333333336,58.333333333333336
nan,,,4,,,,,,0.0,0.0,0.0
