Model,Freq_MHz,TxPower_dBm,N_Samples,Mean_Pr_dBm,Mean_PL_dB,Mean_ExcessPL_dB,RMSE_vs_FreeSpace_dB,Bias_vs_FreeSpace_dB,Coverage ≥ -90 dBm [%],Coverage ≥ -100 dBm [%],Coverage ≥ -110 dBm [%]
COST231,700.0,43.0,60,-61.294999999999995,104.295,29.59665418272448,30.10511691671981,-29.596654182724482,100.0,100.0,100.0
FreeSpace,700.0,43.0,60,-21.290909090909093,64.29090909090908,1.1276447218770038,2.0778826933505226,-1.1276447218770043,18.333333333333332,18.333333333333332,18.333333333333332
Hata,700.0,43.0,60,-59.529999999999994,102.53000000000002,27.832715818193204,28.372404524900933,-27.832715818193204,100.0,100.0,100.0
RayTracing,700.0,43.0,60,-46.822857142857146,89.82285714285715,16.871346166919313,20.163333273161115,-16.871346166919317,58.333333333333336,58.333333333333336,58.333333333333336
