ScenarioName,PropagationModel,Technology,RxId,RxPosX,RxPosY,RxPosZ,RxHeight,RxSensitivity,RxSignalStrength,RxConnectMargin,TxId,TxPosX,TxPosY,TxPosZ,TxHeight,TxPower,TxFrequency,TxMaxReflections,TxMaxDiffractions,TxMaxScattering,Distance,BuildingsOn
S3_mmWave_corner_2,RayTracing,FiveGmmWave,RX-767754,-12.750,25.780,-380.070,1.50,-90.0,,8,TX-767690,47.249,22.730,-342.069,5.00,23.0,28000,2,2,2,71.087,True
S3_mmWave_corner_2,RayTracing,FiveGmmWave,RX-767824,-54.750,26.120,-380.070,1.50,-90.0,,8,TX-767690,47.249,22.730,-342.069,5.00,23.0,28000,2,2,2,108.901,True
S3_mmWave_corner_2,RayTracing,FiveGmmWave,RX-767764,47.250,24.550,-352.070,1.50,-90.0,-60.6,8,TX-767690,47.249,22.730,-342.069,5.00,23.0,28000,2,2,2,10.166,True
S3_mmWave_corner_2,RayTracing,FiveGmmWave,RX-767714,7.250,25.300,-382.070,1.50,-90.0,-78.2,8,TX-767690,47.249,22.730,-342.069,5.00,23.0,28000,2,2,2,56.627,True
S3_mmWave_corner_2,RayTracing,FiveGmmWave,RX-767804,-32.750,25.940,-380.070,1.50,-90.0,,8,TX-767690,47.249,22.730,-342.069,5.00,23.0,28000,2,2,2,88.624,True
S3_mmWave_corner_2,RayTracing,FiveGmmWave,RX-767814,-42.750,26.020,-380.070,1.50,-90.0,,8,TX-767690,47.249,22.730,-342.069,5.00,23.0,28000,2,2,2,97.749,True
S3_mmWave_corner_2,RayTracing,FiveGmmWave,RX-767784,47.250,24.430,-372.070,1.50,-90.0,-68.3,8,TX-767690,47.249,22.730,-342.069,5.00,23.0,28000,2,2,2,30.049,True
S3_mmWave_corner_2,RayTracing,FiveGmmWave,RX-767774,47.250,24.490,-362.070,1.50,-90.0,-65.1,8,TX-767690,47.249,22.730,-342.069,5.00,23.0,28000,2,2,2,20.079,True
S3_mmWave_corner_2,RayTracing,FiveGmmWave,RX-767704,27.250,25.010,-382.070,1.50,-90.0,,8,TX-767690,47.249,22.730,-342.069,5.00,23.0,28000,2,2,2,44.780,True
S3_mmWave_corner_2,RayTracing,FiveGmmWave,RX-767724,-2.750,25.550,-380.070,1.50,-90.0,-79.8,8,TX-767690,47.249,22.730,-342.069,5.00,23.0,28000,2,2,2,62.865,True
S3_mmWave_corner_2,RayTracing,FiveGmmWave,RX-767794,37.250,24.640,-382.070,1.50,-90.0,-70.9,8,TX-767690,47.249,22.730,-342.069,5.00,23.0,28000,2,2,2,41.276,True
S3_mmWave_corner_2,RayTracing,FiveGmmWave,RX-767834,47.250,24.270,-382.070,1.50,-90.0,-70.6,8,TX-767690,47.249,22.730,-342.069,5.00,23.0,28000,2,2,2,40.031,True
S3_mmWave_corner_2,RayTracing,FiveGmmWave,RX-767744,-22.750,25.970,-380.070,1.50,-90.0,,8,TX-767690,47.249,22.730,-342.069,5.00,23.0,28000,2,2,2,79.715,True
S3_mmWave_corner_2,RayTracing,FiveGmmWave,RX-767734,17.250,25.250,-382.070,1.50,-90.0,-76.6,8,TX-767690,47.249,22.730,-342.069,5.00,23.0,28000,2,2,2,50.064,True
